TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20180101,25.081,1.0,23.051,0.55,1.0,26.799,2.533,1.0,26.03,24.482,0.976,27.341,1.95,25.081,1.0,23.051,0.55,1.0,26.799,2.533,1.0,435.014,158.601,1.0,148.742,158.601,1.0,-9999,-9999,422.444,422.444,0.0,483.229,1.0,485.872,483.229,1.0,3.424,1.0,4.187,3.424,1.0,98.76,98.79,0.958333,15.126,15.126,0.0,1.44,1.561,0.729167,0.2700871714285714,0.7291666666666666,121.37920434782609,0.9583333333333334,343.2170869565217,0.9583333333333334,438.997,1.0,25.438,1.0,-9999,-9999,98.7763,-9999,-9999,-9999,-9999,5.80291,-9999,17.2833,-9999,-9999,-9999,-9999,1.73841,-9999,-9999,-9999,22,26,20,25,-3.08712,0.854167,1.26637,1.71182,-3.08712,0.854167,1.26637,1.71182,-4.00081,0.835938,0.17575,-5.89307,-5.39072,-5.25791,-3.23067,-3.08804,-3.08712,-3.08137,0.854167,0.854167,0.854167,0.854167,0.854167,0.854167,0.854167,8.22546,0.878119,1.0,1.42759,2.35642,-12.4521,12.7938,0.730769,1.87637,1.93259,8.22546,0.878119,1.0,1.42759,2.35642,-12.4521,12.7938,0.730769,1.87637,1.93259,4.22592,4.47595,4.47595,8.01894,8.22546,8.22546,8.22546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-14.0598,-13.3776,-13.3363,-12.5328,-12.4521,-12.4521,-12.4419,0.730769,0.730769,0.653846,0.730769,0.730769,0.730769,0.730769,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.44351,10.0697,8.90237,0.278041,5.95935,7.44351,7.50954,9.13609,10.0697,10.4273,11.2049,12.2157,12.6412,12.1987,0.179635,10.319,11.2659,11.2945,12.2157,13.0712,13.4889,13.7451,-9999,-9999
20180102,25.374,1.0,23.71,1.492,1.0,26.783,2.751,1.0,25.423,23.987,1.116,26.637,2.524,25.374,1.0,23.71,1.492,1.0,26.783,2.751,1.0,435.205,156.288,1.0,108.35,156.288,1.0,-9999,-9999,411.943,411.943,0.0,482.347,1.0,478.905,482.347,1.0,3.673,1.0,3.457,3.673,1.0,98.706,98.716,1.0,9.888,9.888,0.0,1.418,1.591,0.666667,0.22586715624999998,0.6666666666666666,113.26366618750001,1.0,314.7049375,1.0,428.989,1.0,25.086,1.0,-9999,-9999,92.7619,-9999,-9999,-9999,-9999,6.01912,-9999,15.3179,-9999,-9999,-9999,-9999,1.47874,-9999,-9999,-9999,22,26,15,26,-5.02636,0.9375,1.28253,1.40616,-5.02636,0.9375,1.28253,1.40616,-5.56832,0.929688,0.0820195,-6.44477,-6.17945,-6.15914,-5.43129,-5.05122,-5.02636,-5.02636,0.916667,0.916667,0.916667,0.9375,0.9375,0.9375,0.9375,7.58419,0.674963,1.0,1.61066,1.97828,-15.3595,14.2252,0.884615,1.71314,1.71569,7.58419,0.674963,1.0,1.61066,1.97828,-15.3595,14.2252,0.884615,1.71314,1.71569,4.99946,5.28691,5.28691,6.89138,7.58419,7.58419,7.58419,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-15.7279,-15.5465,-15.4937,-15.4309,-15.3595,-15.3595,-15.111,0.884615,0.884615,0.884615,0.846154,0.884615,0.884615,0.846154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.46484,10.1781,9.015,0.288951,5.97643,7.46484,7.53106,9.21291,10.1781,10.6189,11.4107,13.8377,14.2779,13.5979,0.187988,11.2384,12.2959,12.9228,13.8377,14.5278,14.7174,15.1145,-9999,-9999
20180103,26.509,1.0,24.246,1.504,1.0,28.424,2.283,1.0,26.464,24.468,1.372,28.152,2.536,26.509,1.0,24.246,1.504,1.0,28.424,2.283,1.0,435.408,162.465,1.0,178.312,162.465,1.0,-9999,-9999,418.288,418.288,0.0,493.968,1.0,483.114,493.968,1.0,4.895,1.0,4.064,4.895,1.0,98.632,98.624,1.0,5.784,5.784,0.0,0.973,1.297,0.833333,0.1884613,0.8333333333333334,127.21640624999999,1.0,331.9109583333333,1.0,430.953,1.0,25.533,1.0,-9999,-9999,104.988,-9999,-9999,-9999,-9999,6.33267,-9999,17.8844,-9999,-9999,-9999,-9999,1.64816,-9999,-9999,-9999,22,26,17,25,-4.31816,0.958333,1.32648,1.39497,-4.31816,0.958333,1.32648,1.39497,-4.70191,0.957292,0.0622351,-5.32605,-5.18163,-5.17454,-4.60542,-4.34286,-4.31816,-4.31816,0.9375,0.9375,0.9375,0.979167,0.958333,0.958333,0.958333,7.69452,1.58281,1.0,1.53827,1.7674,-14.1929,12.2365,0.923077,1.87549,1.87764,7.69452,1.58281,1.0,1.53827,1.7674,-14.1929,12.2365,0.923077,1.87549,1.87764,5.39887,5.9539,6.09152,7.43004,7.69452,7.69452,7.69452,0.954545,0.954545,0.954545,1.0,1.0,1.0,1.0,-14.4802,-14.3727,-14.3601,-14.2512,-14.1929,-14.1929,-14.0435,0.961538,0.923077,0.923077,0.961538,0.923077,0.923077,0.923077,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.54673,10.5983,9.45779,0.334008,6.04198,7.54673,7.61367,9.50963,10.9799,11.3726,12.2206,12.2188,12.6795,12.2207,0.235196,10.0422,11.1947,11.2245,12.2188,13.2163,13.6861,14.0513,-9999,-9999
20180104,26.595,1.0,24.609,1.736,1.0,28.276,2.788,1.0,25.947,24.383,1.18,27.27,1.884,26.595,1.0,24.609,1.736,1.0,28.276,2.788,1.0,435.623,202.958,1.0,159.756,202.958,1.0,-9999,-9999,418.486,418.486,0.0,491.194,1.0,483.246,491.194,1.0,5.554,1.0,3.099,5.554,1.0,98.733,98.726,1.0,19.047,19.047,0.0,1.215,1.6,0.8125,0.20976382051282053,0.8125,154.5140672916667,1.0,412.3304166666667,1.0,435.112,1.0,25.619,1.0,-9999,-9999,112.532,-9999,-9999,-9999,-9999,7.78872,-9999,17.8753,-9999,-9999,-9999,-9999,1.72325,-9999,-9999,-9999,22,26,22,25,-3.92155,0.979167,1.22769,1.27933,-3.92155,0.979167,1.22769,1.27933,-4.29223,0.972917,0.103467,-6.03646,-4.64114,-4.48463,-4.02194,-3.92155,-3.92155,-3.53044,0.895833,0.979167,0.979167,0.979167,0.979167,0.979167,0.979167,9.95051,2.3188,1.0,1.39076,1.55498,-15.3963,13.2396,0.961538,1.85715,1.86547,9.95051,2.3188,1.0,1.39076,1.55498,-15.3963,13.2396,0.961538,1.85715,1.86547,5.57529,8.55945,8.96754,9.61945,9.95051,9.95051,10.3461,0.818182,1.0,1.0,1.0,1.0,1.0,1.0,-15.5663,-15.5551,-15.4595,-15.4077,-15.2785,-15.2032,-15.1563,0.961538,0.961538,0.961538,0.961538,0.961538,0.961538,0.961538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.55248,10.6314,9.49545,0.338154,6.04659,7.55248,7.61948,9.53224,11.0632,11.4376,12.2904,13.6274,14.1699,13.8256,0.256814,11.4106,12.58,12.6102,13.6274,14.8193,15.2309,16.3002,-9999,-9999
20180105,25.152,1.0,23.623,0.474,1.0,26.445,2.276,1.0,25.473,24.095,0.392,26.639,1.413,25.152,1.0,23.623,0.474,1.0,26.445,2.276,1.0,435.848,145.016,1.0,143.155,145.016,1.0,-9999,-9999,416.605,416.605,0.0,484.762,1.0,481.998,484.762,1.0,2.652,1.0,2.376,2.652,1.0,98.792,98.796,0.979167,24.382,24.382,0.0,1.296,1.409,0.979167,0.23896806382978725,0.9791666666666666,104.28788966666667,1.0,304.5642291666666,1.0,431.116,1.0,25.457,1.0,-9999,-9999,92.6927,-9999,-9999,-9999,-9999,7.0032,-9999,11.792,-9999,-9999,-9999,-9999,1.63964,-9999,-9999,-9999,22,26,22,24,-0.223434,1.0,1.18053,1.48724,-0.223434,1.0,1.18053,1.48724,-0.746473,1.0,0.15071,-3.21942,-1.98692,-0.701325,-0.24369,-0.177796,-0.177796,-0.119258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.72103,0.223882,1.0,1.39696,1.6726,-8.62299,12.7435,1.0,1.76479,1.95063,9.72103,0.223882,1.0,1.39696,1.6726,-8.62299,12.7435,1.0,1.76479,1.95063,5.5496,7.96417,8.92056,9.72103,9.80381,9.80381,9.9054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-10.4233,-10.2737,-8.79585,-8.62543,-8.61184,-8.61184,-8.59366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.36553,9.69478,8.75793,0.260159,6.25589,7.36553,7.42298,8.90549,9.84683,10.1207,10.7981,12.4859,12.8077,12.2962,0.156557,10.1803,11.544,11.7162,12.4859,13.1025,13.2353,13.5003,-9999,-9999
20180106,25.721,1.0,24.595,2.003,1.0,26.674,2.481,1.0,25.631,24.385,1.479,26.685,2.005,25.721,1.0,24.595,2.003,1.0,26.674,2.481,1.0,436.085,165.232,1.0,154.392,165.232,1.0,-9999,-9999,416.049,416.049,0.0,484.667,1.0,481.629,484.667,1.0,4.173,1.0,3.105,4.173,1.0,98.755,98.764,1.0,8.626,8.626,0.0,0.906,1.152,1.0,0.22897572916666664,1.0,122.15319054166666,1.0,329.50875,1.0,432.247,1.0,25.148,1.0,-9999,-9999,99.7377,-9999,-9999,-9999,-9999,7.05035,-9999,17.7402,-9999,-9999,-9999,-9999,1.5223,-9999,-9999,-9999,22,26,22,25,-5.27379,1.0,1.15861,1.28865,-5.27379,1.0,1.15861,1.28865,-5.6517,0.9875,0.110121,-7.5162,-6.25284,-6.02424,-5.3668,-5.27379,-5.12457,-5.02459,0.895833,1.0,1.0,1.0,1.0,1.0,1.0,9.54689,0.68357,1.0,1.39696,1.75414,-17.4604,15.0325,1.0,1.70134,1.70512,9.54689,0.68357,1.0,1.39696,1.75414,-17.4604,15.0325,1.0,1.70134,1.70512,5.54049,7.80743,8.2374,9.41395,9.55326,9.92923,10.1164,0.818182,0.863636,1.0,1.0,1.0,1.0,1.0,-18.0597,-17.6875,-17.6459,-17.5185,-17.4604,-17.4604,-17.4406,0.961538,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.23076,9.04532,8.63314,0.251436,6.87619,7.23076,7.27067,8.52213,9.67343,9.83522,10.5192,14.1818,14.3893,13.9652,0.179558,10.8157,13.3934,13.4712,14.1818,14.8577,14.9505,15.1857,-9999,-9999
20180107,25.542,1.0,24.555,0.878,1.0,26.377,1.762,1.0,25.438,24.499,1.023,26.233,1.426,25.542,1.0,24.555,0.878,1.0,26.377,1.762,1.0,436.332,125.41,1.0,149.537,125.41,1.0,-9999,-9999,421.047,421.047,0.0,487.909,1.0,484.945,487.909,1.0,3.064,1.0,3.455,3.064,1.0,98.717,98.728,1.0,3.305,3.305,0.0,1.127,1.279,0.979167,0.2086678085106383,0.9791666666666666,83.72164583333334,1.0,249.88352083333334,1.0,438.969,1.0,25.114,1.0,-9999,-9999,83.1855,-9999,-9999,-9999,-9999,6.00311,-9999,12.2038,-9999,-9999,-9999,-9999,1.55857,-9999,-9999,-9999,22,26,22,26,-3.8978,1.0,1.59477,1.75705,-3.39853,1.0,1.14527,1.3622,-3.98095,0.998437,0.0940331,-5.17132,-4.87358,-4.37462,-3.83749,-3.50355,-3.39853,-3.33243,0.979167,1.0,1.0,1.0,1.0,1.0,1.0,8.58286,1.4159,1.0,2.57187,2.80615,-14.1968,14.5955,1.0,1.81784,1.86358,9.37146,1.35717,1.0,1.38574,1.78334,-13.9758,14.9653,1.0,1.66628,1.71606,5.10314,7.12646,7.78938,8.54933,9.19256,9.37146,9.37146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-14.7257,-14.3736,-14.3019,-14.0611,-13.9475,-13.553,-13.5002,1.0,1.0,1.0,1.0,1.0,1.0,0.961538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.1158,8.14693,8.22893,0.217488,6.73907,7.1158,7.29844,7.87695,8.98342,9.16233,10.1085,12.3532,12.3874,12.2934,0.143818,9.81598,11.9328,12.0056,12.3532,12.7316,12.8561,13.0849,-9999,-9999
20180108,24.554,1.0,22.64,1.216,1.0,26.174,2.139,1.0,25.318,23.718,0.55,26.672,2.101,24.554,1.0,22.64,1.216,1.0,26.174,2.139,1.0,436.59,139.061,1.0,186.627,139.061,1.0,-9999,-9999,415.488,415.488,0.0,479.309,1.0,481.257,479.309,1.0,2.788,1.0,4.023,2.788,1.0,98.717,98.754,1.0,7.09,7.09,0.0,1.122,1.707,0.895833,0.28302544186046513,0.8958333333333334,100.0193375,1.0,284.7425416666667,1.0,426.378,1.0,25.265,1.0,-9999,-9999,105.978,-9999,-9999,-9999,-9999,7.07445,-9999,17.5665,-9999,-9999,-9999,-9999,1.65021,-9999,-9999,-9999,22,26,20,24,-4.26533,1.0,1.25409,1.34779,-4.02417,1.0,1.07489,1.18287,-4.39982,1.0,0.080144,-5.61367,-5.01168,-4.59819,-4.29158,-4.02417,-4.02417,-3.81436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.45301,0.684073,1.0,1.67758,1.88025,-14.7407,16.0823,1.0,1.56285,1.57082,8.82605,0.83295,1.0,1.28604,1.54109,-14.6274,16.2496,1.0,1.56769,1.57563,6.09361,7.12775,7.8095,8.47077,8.82605,8.82605,9.27166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-15.1431,-14.9471,-14.8036,-14.7743,-14.6685,-14.6312,-14.6274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.01105,7.17464,7.70226,0.183394,6.27765,6.90232,7.01105,7.47331,8.23469,8.30161,9.11349,12.575,12.5695,12.6588,0.125194,10.4397,12.4445,12.5695,12.6378,13.0231,13.1503,13.4488,-9999,-9999
20180109,24.633,1.0,21.996,1.044,1.0,26.863,3.172,1.0,24.748,23.054,1.071,26.182,2.452,24.633,1.0,21.996,1.044,1.0,26.863,3.172,1.0,436.856,189.917,1.0,169.172,189.917,1.0,-9999,-9999,415.591,415.591,0.0,474.05,1.0,481.325,474.05,1.0,4.577,1.0,3.65,4.577,1.0,98.727,98.752,1.0,16.478,16.478,0.0,0.999,0.948,0.708333,0.2762650882352941,0.7083333333333334,148.53218541666666,1.0,390.1115,1.0,427.64,1.0,25.111,1.0,-9999,-9999,117.105,-9999,-9999,-9999,-9999,7.47302,-9999,28.4613,-9999,-9999,-9999,-9999,1.57576,-9999,-9999,-9999,22,26,22,26,-4.3585,1.0,0.940842,1.14336,-4.12326,1.0,0.879517,1.09345,-4.4657,1.0,0.0990366,-5.78323,-5.20199,-4.8798,-4.31908,-4.00447,-3.90262,-3.65582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.92402,0.204829,1.0,0.844726,1.47475,-15.305,14.1912,1.0,1.51351,1.51825,9.36205,0.343077,1.0,0.572956,1.33776,-15.2572,14.2725,1.0,1.48769,1.49252,6.20078,7.33805,7.96752,8.98989,9.55779,9.75576,10.2005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-15.5354,-15.4376,-15.4176,-15.2907,-15.2115,-15.1978,-15.135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.05856,6.71874,7.64887,0.195197,6.3885,6.71874,6.71874,7.79557,8.12729,8.44241,8.77816,13.8751,13.8275,13.9489,0.180263,10.9951,13.6794,13.8275,14.1951,14.4478,14.5885,14.6674,-9999,-9999
20180110,24.922,1.0,23.626,1.148,1.0,26.019,2.326,1.0,24.749,23.738,0.602,25.604,1.368,24.922,1.0,23.626,1.148,1.0,26.019,2.326,1.0,437.131,143.121,1.0,109.669,143.121,1.0,-9999,-9999,414.453,414.453,0.0,479.848,1.0,480.571,479.848,1.0,2.966,1.0,1.562,2.966,1.0,98.783,98.796,1.0,21.443,21.443,0.0,0.813,0.955,0.5,-9999,0.0,102.97767708333333,1.0,288.34831249999996,1.0,424.403,1.0,25.144,1.0,-9999,-9999,88.3791,-9999,-9999,-9999,-9999,5.95124,-9999,15.9087,-9999,-9999,-9999,-9999,1.32138,-9999,-9999,-9999,22,26,22,26,-3.38906,1.0,0.926776,1.0701,-2.97377,1.0,0.892033,1.04016,-3.60081,0.994792,0.112154,-5.53679,-4.04381,-3.74265,-3.5261,-3.05927,-2.97385,-2.97377,0.979167,1.0,1.0,1.0,1.0,1.0,1.0,9.8806,3.62032,1.0,0.885893,1.32733,-14.3898,15.6206,1.0,1.46852,1.48245,10.6334,3.32969,1.0,0.758569,1.24596,-14.288,15.7693,1.0,1.45136,1.46546,4.45508,8.64221,9.35341,9.63634,10.4369,10.6191,10.6334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-14.6497,-14.5508,-14.535,-14.4269,-14.288,-14.1453,-13.6199,1.0,1.0,1.0,1.0,1.0,1.0,0.961538,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.21044,6.59001,7.80042,0.206626,6.44592,6.59001,6.77312,8.20717,8.32593,8.62763,9.30708,10.8394,10.7962,11.1743,0.0785799,10.4079,10.687,10.7962,11.3024,11.4709,11.6048,11.6952,-9999,-9999
