system:index,albedo,date,.geo
0,99674.625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,99744.234375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,99781.625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,99783.5625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,99748.3828125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,99696.3828125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,99638.0546875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,99605.421875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,99617.984375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,99663.7265625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,99734.53125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,99812.6875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,99894.59375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,99940.5625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,99953.015625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,99918.03125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,99881.1953125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,99825.1015625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,99746.53125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,99676.9296875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,99625.2890625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,99604.484375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,99629.4296875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,99685.4140625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,99777.09375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,99852.59375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,99903.9296875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,99913.265625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,99879.3125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,99809.3984375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,99751.703125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,99698.484375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,99685.1328125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,99706.4921875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,99736.6015625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,99794.0703125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,99863.828125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,99908.1875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,99930.984375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,99913.7265625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,99852.6796875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,99763.5625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,99676.4375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,99596.5625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,99543.9453125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,99501.5078125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,99499.046875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,99537.375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,99591.9609375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,99654.8515625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,99698.1953125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,99721.0546875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,99703.546875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,99643.6640625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,99585.0390625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,99550.5078125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,99551.265625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,99587.7265625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,99651.078125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,99736.6484375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,99825.7890625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,99871.5078125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,99878.640625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,99843.9765625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,99781.265625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,99692.5703125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,99600.421875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,99508.8359375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,99443.1484375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,99436.7734375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,99472.3125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,99523.359375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,99602.4921875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,99689.09375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,99736.6171875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,99762.2265625,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,99736.34375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,99684.2734375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,99633.6328125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,99597.078125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,99581.3671875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,99602.7265625,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,99654.7421875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,99745.0625,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,99838.5703125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,99902.453125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,99933.8984375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,99933.5,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,99881.9921875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,99802.53125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,99709.59375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,99628.7109375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,99587.6875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,99572.6640625,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,99595.8125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,99675.1953125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,99747.625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,99831.5234375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,99883.859375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,99898.7890625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,99866.40625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,99803.9609375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,99726.296875,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,99660.9765625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,99647.4921875,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,99671.5078125,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,99727.7421875,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,99823.4453125,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,99917.59375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
