system:index,albedo,date,.geo
0,0.019093172624707222,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.01900246925652027,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.018956197425723076,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.01890384964644909,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.01883639208972454,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.01875482313334942,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.01863134279847145,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.01850857585668564,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.018387271091341972,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.01822000741958618,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.01803601160645485,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.018169457092881203,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.01901336759328842,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.019821440801024437,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.020131481811404228,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.019962705671787262,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.01974978670477867,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.01946837082505226,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.01908591017127037,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.019022630527615547,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.019334964454174042,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.019671142101287842,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.01979176700115204,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0191118773072958,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.018655110150575638,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.018450910225510597,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.01828518696129322,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.018162820488214493,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.017986992374062538,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.017795709893107414,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.017596755176782608,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.017413439229130745,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0172609593719244,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.017124000936746597,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.01703346148133278,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.017194969579577446,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0.017721125856041908,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,0.01822412759065628,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0.017987025901675224,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0.017246078699827194,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0.016848931089043617,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,0.016878481954336166,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0.016969237476587296,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0.0170374047011137,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0.017182201147079468,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0.017783159390091896,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.01873593218624592,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.01836184225976467,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.017690325155854225,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.017485251650214195,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.017433596774935722,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
