system:index,albedo,date,.geo
0,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.931396484375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,49.875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,155.375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,269.25,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,328.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,380.625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,405.75,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,378.5,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,359.0,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,295.25,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,209.5,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,117.59375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,27.375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1.2284517288208008E-4,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.0,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.75830078125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,46.25,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,179.5625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,359.875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,492.125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,574.25,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,584.25,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,561.25,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,532.75,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,502.5,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,369.125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,209.875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,49.578125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2.658367156982422E-4,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1.08642578125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,50.734375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,156.375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,261.625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,365.125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,444.125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,543.75,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,593.5,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,562.0,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,424.5,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,279.875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,107.09375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,21.7109375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,5.1081180572509766E-5,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,1.08984375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,53.71875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,173.5625,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,295.875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,349.5,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,407.0,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,438.375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,446.25,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,441.375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,397.5,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,314.375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,186.875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,44.96875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2.1219253540039062E-4,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,0.92724609375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,45.25,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,139.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,231.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,296.625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,336.0,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,359.375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,311.375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,245.25,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,172.0625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,107.5,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,53.421875,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,13.47265625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2.7870546148722752E-11,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,0.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,0.906982421875,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,48.171875,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,153.875,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,272.75,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,345.0,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,381.875,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,361.625,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,347.5,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,327.625,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,288.5,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,217.375,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,112.03125,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,25.1015625,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,7.292628288269043E-5,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,0.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,0.5693359375,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,33.484375,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,127.6875,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,244.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,310.625,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,321.375,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,300.375,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,305.0,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,320.25,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,269.75,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,171.75,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,72.59375,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,15.71875,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,1.6957521438598633E-5,2018-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,0.0,2018-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
