system:index,albedo,date,.geo
0,299.2635498046875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,298.9693603515625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,298.66912841796875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,298.4003601074219,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,298.19403076171875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,297.99713134765625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,297.84490966796875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,297.7403869628906,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,297.6571350097656,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,297.4559631347656,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,297.1512145996094,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,297.024658203125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,297.733154296875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,298.5260009765625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,299.0839538574219,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,299.25384521484375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,299.5384826660156,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,299.74468994140625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,299.76885986328125,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,299.6581726074219,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,299.4040832519531,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,299.062744140625,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,298.70135498046875,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,298.41943359375,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,298.02764892578125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,297.5361633300781,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,297.1793212890625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,296.974365234375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,296.771240234375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,296.578369140625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,296.3786315917969,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,296.1969299316406,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,296.0445556640625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,295.927001953125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,295.8495788574219,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,296.04241943359375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,296.62322998046875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,297.453125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,298.156982421875,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,299.36322021484375,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,300.27374267578125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,300.676025390625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,300.8619689941406,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,300.9432678222656,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,300.77862548828125,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,300.36962890625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,299.79937744140625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,299.3941650390625,2018-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,299.30242919921875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,299.10870361328125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,298.8480224609375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,298.51446533203125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,298.095947265625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,297.5098571777344,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,296.94903564453125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,296.63360595703125,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,296.5860900878906,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,296.6590576171875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,296.7493591308594,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,296.8841552734375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,297.37567138671875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,298.033447265625,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,298.6839904785156,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,299.3300476074219,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,299.9686279296875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,300.5248107910156,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,300.7804870605469,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,300.69793701171875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,300.35394287109375,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,299.8232727050781,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,299.344482421875,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,299.0677185058594,2018-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,298.6481628417969,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,298.07208251953125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,297.71820068359375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,297.6447448730469,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,297.7283630371094,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,297.7373046875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,297.6394958496094,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,297.56732177734375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,297.56268310546875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,297.493896484375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,297.3285217285156,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,297.1363830566406,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,297.73236083984375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,298.5619201660156,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,298.9366455078125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,299.4090576171875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,300.1639709472656,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,300.70025634765625,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,301.0079345703125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,301.1290283203125,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,301.0291748046875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,300.69476318359375,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,300.2372131347656,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,299.6591796875,2018-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,299.69390869140625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,299.580322265625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,299.4490661621094,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,299.24603271484375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,298.9978332519531,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,298.74346923828125,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,298.50634765625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,298.3081359863281,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,298.15570068359375,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,298.0542297363281,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,297.9532165527344,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,297.8330383300781,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,298.0422668457031,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,298.6524658203125,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,299.274169921875,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,299.7928161621094,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,300.18658447265625,2018-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
