system:index,albedo,date,.geo
0,100495.59375,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,100527.6796875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,100504.875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,100440.2265625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,100358.640625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,100272.1953125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,100219.28125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,100201.1640625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,100241.0625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,100322.1328125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,100415.1796875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,100490.265625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,100527.3671875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,100536.78125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,100520.1171875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,100475.3984375,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,100407.6875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,100329.3203125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,100264.9609375,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,100240.2890625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,100247.4453125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,100291.2734375,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,100335.7421875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,100374.78125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,100412.8515625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,100439.203125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,100442.4296875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,100406.265625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,100356.546875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,100311.3125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,100294.6484375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,100299.734375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,100332.5703125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,100372.125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,100421.6875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,100481.9765625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,100514.5625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,100509.9140625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,100478.3046875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,100418.7265625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,100353.9453125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,100280.734375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,100203.25,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,100163.78125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,100161.9140625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,100195.1953125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,100241.171875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,100302.0703125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,100339.0859375,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,100354.984375,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,100336.40625,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
