system:index,albedo,date,.geo
0,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.896484375,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,62.296875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,146.8125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,224.1875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,306.125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,378.25,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,434.25,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,443.25,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,395.375,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,311.125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,191.1875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,100.25,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,17.171875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.0,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,4.72265625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,95.3125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,250.75,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,413.375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,553.5,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,643.25,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,711.5,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,717.25,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,650.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,504.875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,318.5,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,151.5625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,24.828125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.0,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5.49609375,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,88.5625,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,230.5,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,385.375,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,555.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,722.5,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,823.5,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,816.5,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,683.75,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,525.5,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,332.875,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,153.125,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,23.21875,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.0,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.0,2009-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
