system:index,albedo,date,.geo
0,299.1407470703125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,299.0923156738281,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,299.0323486328125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,298.9600524902344,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,298.962890625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,299.08221435546875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,299.07989501953125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,298.99908447265625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,298.9342041015625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,298.7918395996094,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,298.8497314453125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,299.1601257324219,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,299.1725158691406,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,299.250244140625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,299.3956604003906,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,300.04803466796875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,300.4647216796875,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,300.639892578125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,300.6378173828125,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,300.42681884765625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,300.12261962890625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,299.86572265625,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,299.7026672363281,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,299.2838439941406,2009-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,299.1925048828125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,299.1612548828125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,299.07989501953125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,298.88214111328125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,298.72900390625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,298.6144104003906,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,298.51885986328125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,298.4403991699219,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,298.4082946777344,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,298.3453674316406,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,298.48577880859375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,298.94183349609375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,299.5465087890625,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,300.17138671875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,300.71820068359375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,301.1905517578125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,301.5360107421875,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,301.7306823730469,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,301.72540283203125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,301.49700927734375,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,301.14093017578125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,300.83135986328125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,300.720703125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,300.596923828125,2009-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,300.3947448730469,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,299.89544677734375,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,299.7434997558594,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,299.56219482421875,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,299.37353515625,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,299.12945556640625,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,298.99395751953125,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,298.96246337890625,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,298.9411926269531,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,298.87005615234375,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,299.0362548828125,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,299.57330322265625,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,300.1723937988281,2009-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
