MOD15A2H.A2000057.h10v09.006.2020037215018.Fpar_500m,MOD15A2H,A2000057,Lat-3.834436Lon-73.31897Samp17Line17,2020037215018,59.0,59.0,250.0,55.0,55.0,53.0,53.0,250.0,250.0,250.0,250.0,250.0,79.0,86.0,45.0,46.0,46.0,88.0,88.0,250.0,56.0,56.0,53.0,45.0,60.0,64.0,64.0,54.0,87.0,77.0,83.0,83.0,41.0,46.0,59.0,59.0,250.0,56.0,56.0,81.0,81.0,86.0,62.0,62.0,88.0,88.0,86.0,83.0,83.0,80.0,80.0,65.0,63.0,63.0,49.0,49.0,49.0,60.0,60.0,64.0,88.0,88.0,86.0,86.0,83.0,83.0,85.0,85.0,65.0,63.0,63.0,36.0,36.0,36.0,53.0,53.0,64.0,88.0,87.0,88.0,88.0,83.0,84.0,73.0,73.0,74.0,88.0,88.0,77.0,46.0,38.0,250.0,83.0,87.0,87.0,87.0,87.0,87.0,84.0,85.0,84.0,84.0,48.0,71.0,71.0,77.0,46.0,38.0,250.0,82.0,254.0,56.0,84.0,86.0,86.0,85.0,85.0,85.0,85.0,67.0,39.0,39.0,48.0,250.0,56.0,53.0,87.0,254.0,254.0,90.0,90.0,86.0,83.0,86.0,86.0,88.0,67.0,55.0,55.0,59.0,250.0,250.0,250.0,88.0,87.0,87.0,89.0,86.0,86.0,82.0,86.0,88.0,87.0,71.0,69.0,69.0,55.0,64.0,250.0,250.0,88.0,90.0,90.0,91.0,86.0,86.0,87.0,87.0,88.0,87.0,87.0,87.0,73.0,55.0,62.0,64.0,84.0,84.0,90.0,90.0,90.0,85.0,85.0,87.0,87.0,87.0,87.0,73.0,73.0,73.0,54.0,60.0,60.0,90.0,90.0,88.0,84.0,90.0,85.0,85.0,90.0,87.0,87.0,87.0,73.0,74.0,74.0,74.0,68.0,87.0,91.0,91.0,88.0,84.0,84.0,88.0,88.0,92.0,89.0,89.0,85.0,54.0,64.0,64.0,54.0,250.0,67.0,91.0,91.0,89.0,84.0,84.0,90.0,90.0,92.0,92.0,89.0,85.0,66.0,67.0,67.0,69.0,250.0,65.0,91.0,91.0,90.0,83.0,83.0,90.0,90.0,92.0,92.0,92.0,89.0,90.0,86.0,70.0,70.0,66.0,88.0,90.0,90.0,89.0,83.0,83.0,90.0,90.0,89.0,92.0,90.0,90.0,90.0,78.0,66.0,66.0,72.0,87.0,85.0,90.0,89.0,83.0,83.0,88.0,88.0,88.0,90.0,90.0,90.0
MOD15A2H.A2000065.h10v09.006.2020038170232.Fpar_500m,MOD15A2H,A2000065,Lat-3.834436Lon-73.31897Samp17Line17,2020038170232,10.0,10.0,250.0,9.0,10.0,10.0,11.0,250.0,250.0,250.0,250.0,250.0,11.0,9.0,8.0,10.0,10.0,11.0,11.0,250.0,9.0,11.0,13.0,16.0,13.0,18.0,18.0,18.0,13.0,11.0,11.0,12.0,12.0,11.0,12.0,11.0,250.0,11.0,11.0,12.0,12.0,12.0,14.0,14.0,12.0,13.0,13.0,15.0,13.0,13.0,11.0,12.0,13.0,12.0,13.0,11.0,11.0,11.0,12.0,14.0,12.0,14.0,17.0,17.0,19.0,16.0,12.0,11.0,11.0,16.0,15.0,15.0,14.0,12.0,11.0,12.0,14.0,12.0,16.0,21.0,21.0,25.0,22.0,12.0,12.0,17.0,18.0,14.0,14.0,19.0,12.0,250.0,11.0,14.0,14.0,20.0,21.0,29.0,25.0,22.0,17.0,17.0,20.0,28.0,21.0,14.0,19.0,14.0,250.0,12.0,254.0,14.0,22.0,21.0,29.0,29.0,34.0,26.0,26.0,21.0,25.0,27.0,20.0,250.0,18.0,23.0,16.0,254.0,254.0,22.0,24.0,33.0,33.0,38.0,26.0,26.0,22.0,21.0,29.0,29.0,250.0,250.0,250.0,21.0,26.0,33.0,29.0,37.0,31.0,31.0,22.0,24.0,24.0,21.0,21.0,23.0,23.0,27.0,250.0,250.0,31.0,27.0,30.0,30.0,34.0,25.0,25.0,21.0,25.0,24.0,23.0,21.0,19.0,21.0,33.0,33.0,36.0,36.0,27.0,25.0,25.0,25.0,25.0,25.0,28.0,25.0,27.0,22.0,21.0,20.0,21.0,21.0,22.0,21.0,36.0,27.0,27.0,27.0,25.0,26.0,27.0,26.0,27.0,30.0,17.0,17.0,19.0,18.0,18.0,23.0,21.0,21.0,26.0,29.0,29.0,22.0,22.0,24.0,24.0,25.0,28.0,22.0,17.0,16.0,18.0,250.0,16.0,24.0,24.0,30.0,30.0,30.0,18.0,22.0,26.0,26.0,24.0,19.0,17.0,17.0,16.0,25.0,250.0,17.0,19.0,19.0,25.0,25.0,18.0,18.0,17.0,22.0,22.0,22.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,16.0,25.0,21.0,21.0,18.0,21.0,21.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,14.0,12.0,16.0,16.0,20.0,23.0,23.0,21.0,24.0,24.0,20.0,16.0
MOD15A2H.A2000073.h10v09.006.2020040185843.Fpar_500m,MOD15A2H,A2000073,Lat-3.834436Lon-73.31897Samp17Line17,2020040185843,9.0,12.0,250.0,9.0,7.0,7.0,17.0,250.0,250.0,250.0,250.0,250.0,49.0,49.0,82.0,82.0,78.0,12.0,12.0,250.0,21.0,20.0,45.0,36.0,41.0,62.0,61.0,50.0,86.0,48.0,48.0,40.0,40.0,47.0,12.0,12.0,250.0,30.0,38.0,23.0,43.0,41.0,41.0,41.0,47.0,47.0,40.0,40.0,25.0,47.0,47.0,29.0,29.0,30.0,30.0,38.0,30.0,30.0,34.0,34.0,39.0,50.0,50.0,47.0,40.0,25.0,27.0,27.0,49.0,29.0,30.0,33.0,34.0,36.0,36.0,26.0,26.0,24.0,50.0,50.0,47.0,47.0,30.0,29.0,29.0,49.0,49.0,50.0,50.0,42.0,36.0,250.0,27.0,19.0,24.0,46.0,46.0,47.0,47.0,33.0,30.0,30.0,30.0,27.0,46.0,46.0,46.0,51.0,250.0,27.0,254.0,24.0,45.0,45.0,80.0,80.0,74.0,30.0,30.0,37.0,37.0,39.0,46.0,250.0,51.0,43.0,46.0,254.0,254.0,39.0,39.0,43.0,80.0,74.0,72.0,72.0,44.0,37.0,39.0,45.0,250.0,250.0,250.0,55.0,49.0,49.0,41.0,39.0,43.0,77.0,77.0,72.0,72.0,44.0,44.0,46.0,42.0,42.0,250.0,250.0,38.0,49.0,49.0,41.0,41.0,47.0,83.0,83.0,75.0,75.0,37.0,37.0,34.0,25.0,24.0,26.0,43.0,38.0,35.0,35.0,86.0,86.0,85.0,47.0,47.0,75.0,75.0,32.0,32.0,9.0,8.0,25.0,26.0,22.0,15.0,13.0,13.0,88.0,88.0,84.0,47.0,47.0,84.0,84.0,40.0,40.0,4.0,4.0,4.0,26.0,26.0,16.0,20.0,20.0,34.0,88.0,84.0,86.0,86.0,84.0,84.0,33.0,35.0,35.0,27.0,250.0,33.0,33.0,47.0,20.0,20.0,34.0,34.0,37.0,85.0,85.0,83.0,83.0,48.0,39.0,39.0,28.0,250.0,26.0,47.0,47.0,36.0,36.0,30.0,26.0,26.0,83.0,83.0,83.0,83.0,88.0,87.0,45.0,23.0,23.0,28.0,28.0,85.0,89.0,89.0,29.0,28.0,28.0,83.0,83.0,79.0,52.0,87.0,87.0,44.0,9.0,9.0,32.0,91.0,91.0,92.0,75.0,67.0,67.0,27.0,49.0,49.0,88.0,40.0
MOD15A2H.A2000081.h10v09.006.2020040173038.Fpar_500m,MOD15A2H,A2000081,Lat-3.834436Lon-73.31897Samp17Line17,2020040173038,87.0,87.0,250.0,28.0,61.0,34.0,43.0,250.0,250.0,250.0,250.0,250.0,81.0,72.0,72.0,86.0,65.0,89.0,89.0,250.0,33.0,51.0,35.0,34.0,34.0,36.0,36.0,23.0,85.0,82.0,74.0,86.0,86.0,65.0,89.0,89.0,250.0,33.0,30.0,34.0,45.0,48.0,37.0,27.0,89.0,89.0,87.0,90.0,86.0,86.0,89.0,89.0,89.0,84.0,51.0,53.0,45.0,45.0,37.0,37.0,78.0,87.0,87.0,87.0,90.0,89.0,89.0,86.0,90.0,91.0,91.0,24.0,28.0,23.0,31.0,31.0,31.0,87.0,87.0,77.0,77.0,67.0,86.0,86.0,49.0,80.0,83.0,89.0,85.0,51.0,51.0,250.0,47.0,50.0,50.0,87.0,79.0,79.0,60.0,86.0,86.0,79.0,51.0,86.0,87.0,87.0,54.0,54.0,250.0,47.0,254.0,30.0,53.0,86.0,77.0,55.0,87.0,86.0,79.0,58.0,51.0,51.0,51.0,250.0,54.0,44.0,85.0,254.0,254.0,51.0,86.0,29.0,45.0,61.0,94.0,94.0,63.0,58.0,49.0,48.0,250.0,250.0,250.0,88.0,90.0,90.0,82.0,86.0,86.0,51.0,51.0,95.0,95.0,52.0,58.0,49.0,56.0,63.0,250.0,250.0,89.0,82.0,84.0,84.0,80.0,80.0,84.0,84.0,92.0,92.0,86.0,86.0,49.0,49.0,53.0,75.0,89.0,89.0,84.0,84.0,92.0,90.0,90.0,84.0,84.0,86.0,86.0,51.0,49.0,72.0,72.0,69.0,55.0,88.0,89.0,90.0,81.0,81.0,82.0,91.0,82.0,82.0,84.0,84.0,30.0,69.0,66.0,66.0,47.0,79.0,88.0,88.0,90.0,92.0,82.0,82.0,91.0,92.0,90.0,92.0,93.0,54.0,66.0,59.0,59.0,250.0,80.0,80.0,57.0,98.0,90.0,90.0,79.0,87.0,92.0,93.0,92.0,92.0,46.0,70.0,75.0,44.0,250.0,80.0,87.0,88.0,88.0,82.0,89.0,95.0,87.0,67.0,67.0,81.0,94.0,88.0,88.0,75.0,65.0,65.0,89.0,82.0,88.0,88.0,94.0,89.0,89.0,85.0,75.0,81.0,81.0,83.0,88.0,88.0,79.0,56.0,53.0,89.0,88.0,83.0,83.0,90.0,90.0,92.0,92.0,75.0,80.0,85.0,85.0
MOD15A2H.A2000089.h10v09.006.2020041193732.Fpar_500m,MOD15A2H,A2000089,Lat-3.834436Lon-73.31897Samp17Line17,2020041193732,33.0,9.0,250.0,53.0,53.0,36.0,36.0,250.0,250.0,250.0,250.0,250.0,42.0,42.0,87.0,86.0,86.0,33.0,9.0,250.0,20.0,20.0,57.0,49.0,64.0,42.0,29.0,12.0,15.0,29.0,29.0,18.0,36.0,36.0,6.0,7.0,250.0,17.0,17.0,47.0,57.0,89.0,42.0,42.0,22.0,22.0,9.0,8.0,8.0,31.0,36.0,6.0,7.0,7.0,16.0,17.0,44.0,46.0,46.0,27.0,25.0,22.0,18.0,18.0,9.0,8.0,31.0,31.0,7.0,6.0,7.0,16.0,16.0,43.0,48.0,48.0,27.0,25.0,22.0,18.0,18.0,10.0,10.0,15.0,15.0,9.0,9.0,8.0,19.0,19.0,28.0,250.0,24.0,25.0,25.0,18.0,18.0,18.0,28.0,28.0,88.0,88.0,34.0,9.0,9.0,19.0,19.0,21.0,250.0,24.0,254.0,40.0,38.0,38.0,32.0,87.0,87.0,88.0,88.0,12.0,9.0,9.0,9.0,250.0,21.0,36.0,27.0,254.0,254.0,17.0,28.0,28.0,87.0,87.0,88.0,88.0,13.0,13.0,11.0,12.0,250.0,250.0,250.0,28.0,28.0,47.0,42.0,42.0,39.0,25.0,17.0,11.0,11.0,13.0,13.0,13.0,15.0,24.0,250.0,250.0,30.0,38.0,38.0,15.0,19.0,39.0,41.0,28.0,15.0,15.0,18.0,15.0,15.0,16.0,48.0,45.0,15.0,16.0,88.0,88.0,35.0,18.0,31.0,35.0,33.0,14.0,17.0,21.0,13.0,13.0,16.0,45.0,45.0,59.0,59.0,88.0,88.0,76.0,40.0,40.0,30.0,17.0,14.0,42.0,21.0,18.0,13.0,19.0,20.0,22.0,28.0,32.0,47.0,93.0,76.0,40.0,40.0,38.0,32.0,33.0,43.0,27.0,36.0,31.0,12.0,250.0,21.0,25.0,34.0,52.0,53.0,100.0,49.0,5.0,49.0,23.0,20.0,16.0,34.0,26.0,19.0,30.0,250.0,19.0,23.0,29.0,87.0,89.0,100.0,51.0,39.0,46.0,29.0,19.0,16.0,29.0,34.0,22.0,29.0,26.0,24.0,25.0,27.0,32.0,96.0,87.0,87.0,37.0,95.0,80.0,19.0,15.0,32.0,42.0,8.0,29.0,29.0,32.0,18.0,27.0,15.0,100.0,89.0,89.0,86.0,85.0,83.0,21.0,20.0
MOD15A2H.A2000097.h10v09.006.2020041040753.Fpar_500m,MOD15A2H,A2000097,Lat-3.834436Lon-73.31897Samp17Line17,2020041040753,66.0,66.0,250.0,61.0,61.0,63.0,51.0,250.0,250.0,250.0,250.0,250.0,47.0,90.0,89.0,50.0,75.0,74.0,74.0,250.0,61.0,61.0,70.0,42.0,51.0,51.0,71.0,66.0,87.0,90.0,84.0,22.0,48.0,48.0,53.0,53.0,250.0,47.0,49.0,88.0,92.0,88.0,75.0,71.0,89.0,100.0,88.0,40.0,13.0,10.0,10.0,87.0,59.0,87.0,63.0,49.0,49.0,77.0,70.0,65.0,89.0,86.0,70.0,89.0,40.0,20.0,30.0,100.0,48.0,48.0,87.0,63.0,67.0,67.0,48.0,60.0,67.0,88.0,86.0,90.0,40.0,40.0,20.0,20.0,23.0,84.0,43.0,87.0,87.0,46.0,46.0,250.0,47.0,74.0,88.0,86.0,89.0,58.0,58.0,29.0,38.0,38.0,60.0,84.0,86.0,74.0,50.0,50.0,250.0,50.0,254.0,74.0,87.0,90.0,34.0,34.0,18.0,19.0,80.0,65.0,61.0,61.0,62.0,250.0,63.0,49.0,50.0,254.0,254.0,84.0,76.0,90.0,48.0,47.0,47.0,52.0,53.0,68.0,68.0,70.0,250.0,250.0,250.0,65.0,87.0,87.0,83.0,90.0,65.0,48.0,47.0,87.0,84.0,64.0,74.0,74.0,60.0,57.0,250.0,250.0,16.0,61.0,64.0,64.0,100.0,32.0,19.0,88.0,81.0,37.0,45.0,88.0,74.0,60.0,43.0,40.0,50.0,30.0,47.0,97.0,97.0,55.0,57.0,43.0,87.0,81.0,39.0,60.0,68.0,68.0,57.0,39.0,40.0,50.0,55.0,62.0,97.0,97.0,91.0,89.0,86.0,86.0,35.0,32.0,43.0,56.0,56.0,88.0,43.0,90.0,90.0,55.0,62.0,90.0,86.0,86.0,70.0,72.0,72.0,32.0,32.0,48.0,74.0,49.0,49.0,250.0,44.0,44.0,73.0,73.0,90.0,90.0,44.0,90.0,72.0,72.0,26.0,27.0,70.0,39.0,26.0,41.0,250.0,90.0,90.0,90.0,73.0,90.0,49.0,44.0,89.0,72.0,72.0,26.0,26.0,93.0,83.0,31.0,51.0,65.0,30.0,27.0,56.0,56.0,90.0,68.0,89.0,89.0,85.0,85.0,78.0,45.0,94.0,91.0,50.0,29.0,29.0,40.0,27.0,27.0,46.0,46.0,68.0,80.0,89.0,89.0,50.0,50.0,45.0
MOD15A2H.A2000105.h10v09.006.2020041070638.Fpar_500m,MOD15A2H,A2000105,Lat-3.834436Lon-73.31897Samp17Line17,2020041070638,83.0,54.0,250.0,34.0,34.0,25.0,56.0,250.0,250.0,250.0,250.0,250.0,89.0,76.0,37.0,37.0,37.0,85.0,85.0,250.0,37.0,25.0,25.0,55.0,23.0,19.0,61.0,23.0,26.0,88.0,88.0,32.0,32.0,50.0,87.0,87.0,250.0,36.0,25.0,89.0,85.0,78.0,14.0,61.0,53.0,53.0,57.0,87.0,32.0,32.0,50.0,87.0,89.0,89.0,76.0,21.0,21.0,14.0,58.0,14.0,90.0,53.0,53.0,57.0,57.0,85.0,87.0,38.0,89.0,90.0,90.0,51.0,63.0,14.0,43.0,57.0,75.0,88.0,61.0,61.0,60.0,60.0,55.0,88.0,88.0,47.0,58.0,78.0,84.0,63.0,14.0,250.0,54.0,88.0,88.0,88.0,31.0,38.0,60.0,27.0,25.0,30.0,51.0,58.0,54.0,89.0,63.0,30.0,250.0,51.0,254.0,85.0,89.0,68.0,51.0,82.0,82.0,44.0,57.0,51.0,42.0,48.0,74.0,250.0,21.0,52.0,51.0,254.0,254.0,84.0,48.0,32.0,87.0,34.0,57.0,57.0,23.0,54.0,48.0,48.0,250.0,250.0,250.0,77.0,88.0,86.0,85.0,22.0,32.0,48.0,34.0,34.0,22.0,80.0,65.0,44.0,24.0,19.0,250.0,250.0,90.0,88.0,88.0,88.0,82.0,26.0,21.0,40.0,57.0,89.0,88.0,60.0,61.0,47.0,40.0,71.0,74.0,90.0,89.0,90.0,90.0,90.0,73.0,27.0,33.0,57.0,89.0,26.0,21.0,21.0,81.0,23.0,67.0,78.0,90.0,90.0,90.0,98.0,90.0,73.0,27.0,40.0,66.0,89.0,50.0,51.0,53.0,50.0,69.0,89.0,33.0,90.0,90.0,95.0,98.0,88.0,94.0,62.0,50.0,49.0,89.0,39.0,51.0,23.0,23.0,250.0,35.0,33.0,47.0,88.0,88.0,89.0,91.0,95.0,88.0,50.0,49.0,89.0,45.0,28.0,21.0,23.0,250.0,55.0,31.0,54.0,54.0,49.0,89.0,90.0,93.0,88.0,89.0,89.0,89.0,100.0,47.0,58.0,58.0,58.0,92.0,89.0,81.0,48.0,36.0,36.0,95.0,100.0,71.0,74.0,74.0,89.0,96.0,42.0,38.0,58.0,58.0,90.0,93.0,89.0,88.0,74.0,74.0,99.0,100.0,89.0,85.0,87.0,74.0
MOD15A2H.A2000113.h10v09.006.2020041212804.Fpar_500m,MOD15A2H,A2000113,Lat-3.834436Lon-73.31897Samp17Line17,2020041212804,75.0,74.0,250.0,26.0,38.0,40.0,38.0,250.0,250.0,250.0,250.0,250.0,37.0,48.0,28.0,28.0,20.0,53.0,74.0,250.0,38.0,41.0,41.0,33.0,39.0,39.0,37.0,39.0,48.0,48.0,48.0,39.0,37.0,37.0,83.0,83.0,250.0,36.0,37.0,46.0,46.0,46.0,33.0,36.0,44.0,44.0,45.0,45.0,39.0,39.0,24.0,82.0,83.0,55.0,37.0,37.0,37.0,29.0,29.0,33.0,44.0,44.0,50.0,50.0,45.0,28.0,28.0,24.0,80.0,55.0,55.0,37.0,33.0,33.0,33.0,30.0,35.0,39.0,44.0,55.0,41.0,41.0,41.0,29.0,29.0,80.0,88.0,88.0,88.0,35.0,35.0,250.0,34.0,39.0,39.0,55.0,55.0,55.0,42.0,42.0,42.0,29.0,38.0,57.0,57.0,88.0,35.0,35.0,250.0,34.0,254.0,10.0,10.0,51.0,51.0,44.0,44.0,44.0,39.0,38.0,30.0,45.0,50.0,250.0,42.0,27.0,44.0,254.0,254.0,51.0,51.0,51.0,44.0,44.0,44.0,30.0,23.0,39.0,45.0,45.0,250.0,250.0,250.0,29.0,29.0,32.0,27.0,27.0,27.0,35.0,35.0,36.0,36.0,37.0,55.0,55.0,39.0,36.0,250.0,250.0,28.0,36.0,36.0,53.0,82.0,27.0,50.0,45.0,45.0,36.0,52.0,52.0,55.0,36.0,38.0,34.0,38.0,28.0,32.0,32.0,53.0,80.0,80.0,50.0,38.0,37.0,28.0,50.0,36.0,36.0,36.0,25.0,34.0,63.0,31.0,31.0,31.0,40.0,40.0,40.0,33.0,33.0,37.0,28.0,53.0,57.0,54.0,54.0,45.0,79.0,63.0,56.0,42.0,39.0,40.0,40.0,40.0,41.0,41.0,41.0,29.0,50.0,32.0,57.0,52.0,250.0,87.0,91.0,91.0,95.0,42.0,38.0,38.0,38.0,39.0,39.0,39.0,26.0,58.0,57.0,57.0,51.0,250.0,87.0,94.0,94.0,95.0,72.0,72.0,63.0,76.0,49.0,49.0,40.0,34.0,82.0,82.0,61.0,61.0,55.0,88.0,83.0,94.0,94.0,94.0,86.0,86.0,76.0,68.0,68.0,40.0,19.0,86.0,86.0,52.0,52.0,69.0,92.0,93.0,94.0,81.0,81.0,81.0,42.0,40.0,40.0,46.0,43.0,43.0
MOD15A2H.A2000121.h10v09.006.2020042013315.Fpar_500m,MOD15A2H,A2000121,Lat-3.834436Lon-73.31897Samp17Line17,2020042013315,62.0,46.0,250.0,57.0,57.0,57.0,46.0,250.0,250.0,250.0,250.0,250.0,30.0,38.0,38.0,43.0,43.0,51.0,49.0,250.0,53.0,55.0,57.0,41.0,46.0,34.0,34.0,35.0,33.0,33.0,40.0,40.0,43.0,43.0,44.0,49.0,250.0,53.0,55.0,48.0,27.0,21.0,20.0,20.0,22.0,33.0,33.0,40.0,40.0,48.0,48.0,44.0,50.0,51.0,51.0,61.0,58.0,32.0,20.0,20.0,22.0,22.0,33.0,41.0,45.0,53.0,52.0,52.0,39.0,42.0,42.0,58.0,61.0,58.0,32.0,22.0,21.0,25.0,25.0,27.0,30.0,43.0,53.0,53.0,40.0,39.0,42.0,45.0,45.0,58.0,58.0,250.0,27.0,22.0,22.0,44.0,30.0,30.0,43.0,50.0,77.0,72.0,48.0,46.0,47.0,44.0,46.0,36.0,250.0,27.0,254.0,30.0,30.0,44.0,48.0,65.0,75.0,90.0,90.0,53.0,40.0,38.0,42.0,250.0,36.0,30.0,26.0,254.0,254.0,46.0,46.0,44.0,53.0,75.0,90.0,75.0,53.0,40.0,38.0,42.0,250.0,250.0,250.0,31.0,41.0,41.0,39.0,44.0,44.0,53.0,30.0,30.0,30.0,64.0,51.0,47.0,42.0,42.0,250.0,250.0,31.0,41.0,40.0,42.0,42.0,43.0,42.0,42.0,42.0,41.0,83.0,49.0,51.0,42.0,45.0,40.0,36.0,32.0,30.0,26.0,33.0,33.0,47.0,38.0,21.0,42.0,41.0,71.0,51.0,51.0,41.0,41.0,41.0,30.0,30.0,24.0,26.0,33.0,37.0,37.0,47.0,21.0,21.0,26.0,62.0,50.0,50.0,34.0,34.0,33.0,30.0,30.0,24.0,24.0,33.0,33.0,33.0,63.0,63.0,47.0,21.0,60.0,49.0,50.0,34.0,250.0,33.0,27.0,27.0,18.0,18.0,32.0,32.0,33.0,63.0,63.0,47.0,47.0,71.0,49.0,49.0,39.0,250.0,30.0,22.0,22.0,12.0,18.0,32.0,32.0,32.0,65.0,65.0,44.0,44.0,73.0,64.0,59.0,30.0,30.0,30.0,22.0,22.0,12.0,12.0,24.0,24.0,24.0,48.0,48.0,26.0,26.0,90.0,64.0,59.0,30.0,30.0,30.0,18.0,18.0,14.0,14.0,12.0,12.0,24.0,48.0,48.0,48.0,48.0
MOD15A2H.A2000129.h10v09.006.2020042170515.Fpar_500m,MOD15A2H,A2000129,Lat-3.834436Lon-73.31897Samp17Line17,2020042170515,8.0,8.0,250.0,11.0,57.0,53.0,53.0,250.0,250.0,250.0,250.0,250.0,15.0,5.0,8.0,8.0,5.0,18.0,9.0,250.0,38.0,57.0,64.0,50.0,62.0,32.0,32.0,32.0,8.0,7.0,5.0,4.0,4.0,4.0,18.0,14.0,250.0,38.0,54.0,55.0,19.0,80.0,41.0,17.0,16.0,8.0,6.0,4.0,4.0,4.0,4.0,36.0,36.0,37.0,38.0,25.0,25.0,25.0,20.0,20.0,47.0,21.0,30.0,30.0,10.0,4.0,4.0,5.0,36.0,36.0,79.0,42.0,42.0,42.0,42.0,31.0,31.0,21.0,21.0,27.0,27.0,10.0,12.0,6.0,6.0,86.0,86.0,49.0,49.0,34.0,42.0,250.0,29.0,29.0,14.0,14.0,23.0,23.0,12.0,12.0,12.0,6.0,56.0,86.0,49.0,49.0,34.0,34.0,250.0,24.0,254.0,61.0,61.0,44.0,23.0,12.0,12.0,12.0,20.0,56.0,56.0,50.0,50.0,250.0,25.0,48.0,85.0,254.0,254.0,61.0,44.0,20.0,34.0,34.0,9.0,17.0,28.0,55.0,28.0,28.0,250.0,250.0,250.0,85.0,85.0,40.0,40.0,36.0,25.0,41.0,33.0,33.0,33.0,16.0,92.0,89.0,89.0,44.0,250.0,250.0,53.0,54.0,48.0,65.0,25.0,44.0,41.0,42.0,42.0,20.0,93.0,93.0,35.0,37.0,32.0,59.0,57.0,36.0,48.0,39.0,7.0,25.0,25.0,15.0,12.0,9.0,9.0,85.0,25.0,11.0,11.0,69.0,59.0,59.0,17.0,17.0,8.0,8.0,100.0,100.0,100.0,100.0,72.0,9.0,80.0,25.0,11.0,11.0,62.0,73.0,55.0,41.0,41.0,24.0,24.0,93.0,100.0,100.0,100.0,72.0,72.0,22.0,17.0,20.0,20.0,250.0,23.0,18.0,16.0,24.0,24.0,24.0,93.0,93.0,100.0,100.0,88.0,88.0,24.0,7.0,6.0,13.0,250.0,23.0,16.0,16.0,45.0,45.0,45.0,56.0,56.0,55.0,55.0,88.0,88.0,19.0,16.0,16.0,6.0,13.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,56.0,55.0,55.0,29.0,29.0,18.0,22.0,16.0,8.0,17.0,46.0,32.0,27.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0
