MOD15A2H.A2000057.h10v09.006.2020037215018.Fpar_500m,MOD15A2H,A2000057,Lat-3.834436Lon-73.31897Samp17Line17,2020037215018,0.59,0.59,F,0.55,0.55,0.53,0.53,F,F,F,F,F,0.79,0.86,F,F,F,F,F,F,0.56,0.56,0.53,0.45,0.6,0.64,0.64,0.54,0.87,F,0.83,0.83,F,F,0.59,0.59,F,0.56,0.56,0.81,0.81,0.86,0.62,0.62,0.88,0.88,0.86,0.83,0.83,0.8,0.8,0.65,0.63,0.63,0.49,0.49,0.49,0.6,0.6,0.64,0.88,0.88,0.86,0.86,0.83,0.83,0.85,0.85,0.65,0.63,0.63,0.36,0.36,0.36,0.53,0.53,0.64,0.88,0.87,0.88,0.88,F,F,F,F,0.74,F,F,0.77,0.46,0.38,F,0.83,0.87,0.87,0.87,0.87,0.87,F,F,F,F,0.48,0.71,0.71,0.77,0.46,0.38,F,0.82,F,0.56,0.84,0.86,0.86,F,F,F,F,0.67,0.39,0.39,0.48,F,0.56,0.53,0.87,F,F,0.9,0.9,0.86,F,F,F,F,0.67,0.55,0.55,0.59,F,F,F,0.88,0.87,0.87,F,0.86,0.86,F,F,F,0.87,0.71,0.69,0.69,0.55,0.64,F,F,0.88,F,F,F,0.86,0.86,0.87,0.87,F,0.87,0.87,0.87,0.73,0.55,0.62,0.64,0.84,0.84,F,F,F,0.85,0.85,0.87,0.87,0.87,0.87,0.73,0.73,0.73,0.54,0.6,0.6,F,F,F,0.84,F,0.85,0.85,F,0.87,0.87,0.87,0.73,0.74,0.74,0.74,0.68,0.87,F,F,F,0.84,0.84,F,F,F,F,F,0.85,0.54,0.64,0.64,0.54,F,F,F,F,F,0.84,0.84,F,F,F,F,F,0.85,0.66,0.67,0.67,0.69,F,F,F,F,F,0.83,0.83,F,F,F,F,F,F,F,0.86,0.7,0.7,0.66,0.88,F,F,F,0.83,0.83,F,F,F,F,0.9,F,F,0.78,0.66,0.66,0.72,0.87,0.85,F,F,0.83,0.83,F,F,F,F,0.9,0.9
MOD15A2H.A2000065.h10v09.006.2020038170232.Fpar_500m,MOD15A2H,A2000065,Lat-3.834436Lon-73.31897Samp17Line17,2020038170232,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.18,0.18,0.18,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000073.h10v09.006.2020040185843.Fpar_500m,MOD15A2H,A2000073,Lat-3.834436Lon-73.31897Samp17Line17,2020040185843,F,F,F,0.09,F,F,F,F,F,F,F,F,F,F,0.82,0.82,0.78,F,F,F,0.21,F,0.45,0.36,0.41,0.62,0.61,0.5,0.86,F,F,F,F,F,F,F,F,0.3,0.38,F,F,F,0.41,0.41,F,F,F,F,F,F,F,F,F,F,0.3,0.38,0.3,0.3,0.34,0.34,F,F,F,F,F,F,F,F,F,F,F,0.33,0.34,0.36,0.36,0.26,0.26,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.36,F,F,F,F,F,F,F,F,0.33,F,F,0.3,F,F,F,0.46,0.51,F,F,F,F,F,F,0.8,0.8,0.74,F,F,0.37,0.37,0.39,0.46,F,0.51,0.43,F,F,F,F,F,0.43,0.8,0.74,0.72,0.72,0.44,0.37,0.39,0.45,F,F,F,F,F,F,F,F,0.43,0.77,0.77,0.72,0.72,0.44,0.44,0.46,0.42,0.42,F,F,F,F,F,F,F,F,0.83,0.83,0.75,0.75,F,F,0.34,0.25,0.24,0.26,F,F,F,F,0.86,0.86,0.85,F,F,0.75,0.75,0.32,0.32,0.09,0.08,0.25,0.26,F,F,F,F,0.88,0.88,0.84,F,F,0.84,0.84,0.4,0.4,0.04,0.04,0.04,F,F,F,F,F,F,0.88,0.84,0.86,0.86,0.84,0.84,0.33,0.35,0.35,0.27,F,F,F,F,F,F,F,F,F,0.85,0.85,0.83,0.83,0.48,0.39,0.39,0.28,F,F,F,F,F,F,F,F,F,0.83,0.83,0.83,0.83,0.88,0.87,0.45,0.23,0.23,F,F,0.85,F,F,0.29,F,F,0.83,0.83,0.79,F,0.87,0.87,0.44,0.09,0.09,F,F,F,F,0.75,0.67,0.67,F,F,F,F,F
MOD15A2H.A2000081.h10v09.006.2020040173038.Fpar_500m,MOD15A2H,A2000081,Lat-3.834436Lon-73.31897Samp17Line17,2020040173038,0.87,0.87,F,0.28,F,F,0.43,F,F,F,F,F,F,F,F,F,F,0.89,0.89,F,0.33,F,F,0.34,0.34,0.36,0.36,0.23,F,F,F,F,F,F,0.89,0.89,F,0.33,0.3,F,F,F,0.37,0.27,F,F,F,0.9,F,F,F,0.89,0.89,F,0.51,0.53,0.45,0.45,0.37,0.37,F,F,F,F,0.9,F,F,F,0.9,F,F,0.24,0.28,0.23,0.31,0.31,0.31,F,F,F,F,F,F,F,F,F,F,F,F,0.51,0.51,F,0.47,F,F,F,F,F,F,F,F,F,0.51,0.86,0.87,0.87,0.54,0.54,F,0.47,F,F,F,F,F,F,F,F,F,0.58,0.51,0.51,0.51,F,0.54,0.44,0.85,F,F,F,0.86,F,F,F,F,F,0.63,0.58,0.49,0.48,F,F,F,0.88,0.9,0.9,F,0.86,0.86,0.51,0.51,F,F,0.52,0.58,0.49,0.56,0.63,F,F,0.89,0.82,0.84,0.84,0.8,0.8,0.84,0.84,F,F,0.86,0.86,0.49,0.49,0.53,0.75,0.89,0.89,0.84,0.84,F,F,F,0.84,0.84,0.86,0.86,0.51,0.49,0.72,0.72,0.69,0.55,0.88,0.89,0.9,0.81,0.81,0.82,F,0.82,0.82,0.84,0.84,0.3,0.69,0.66,0.66,0.47,F,0.88,0.88,0.9,F,0.82,0.82,F,F,F,F,F,0.54,0.66,0.59,0.59,F,F,F,F,F,0.9,0.9,0.79,0.87,F,F,F,F,0.46,0.7,0.75,0.44,F,F,0.87,0.88,0.88,0.82,0.89,F,0.87,0.67,0.67,0.81,F,0.88,0.88,0.75,0.65,0.65,0.89,0.82,0.88,0.88,F,0.89,0.89,0.85,0.75,0.81,0.81,0.83,0.88,0.88,0.79,0.56,0.53,0.89,0.88,0.83,0.83,F,F,F,F,0.75,0.8,0.85,0.85
MOD15A2H.A2000089.h10v09.006.2020041193732.Fpar_500m,MOD15A2H,A2000089,Lat-3.834436Lon-73.31897Samp17Line17,2020041193732,0.33,F,F,0.53,0.53,F,F,F,F,F,F,F,F,F,0.87,0.86,0.86,0.33,F,F,F,F,F,0.49,0.64,0.42,0.29,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,0.42,0.42,F,F,F,F,F,F,F,F,F,F,F,F,0.44,0.46,0.46,0.27,F,F,F,F,F,F,F,F,F,F,F,F,F,0.43,0.48,0.48,0.27,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,0.34,F,F,F,0.19,0.21,F,F,F,F,F,F,F,0.87,0.87,0.88,0.88,0.12,F,F,F,F,0.21,0.36,F,F,F,F,F,F,0.87,0.87,0.88,0.88,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,0.35,F,F,F,F,F,F,0.21,F,F,F,F,F,F,F,0.88,0.88,0.76,0.4,0.4,F,F,F,F,0.21,F,F,0.19,F,F,F,F,F,F,0.76,0.4,0.4,F,F,F,F,0.27,0.36,0.31,0.12,F,F,F,F,F,F,F,0.49,0.05,F,F,F,F,0.34,0.26,F,F,F,F,F,F,0.87,0.89,F,F,F,F,F,F,F,F,F,0.22,F,F,F,F,F,F,F,0.87,0.87,F,F,0.8,F,F,F,F,0.08,F,F,F,F,F,F,F,0.89,0.89,0.86,0.85,0.83,F,F
MOD15A2H.A2000097.h10v09.006.2020041040753.Fpar_500m,MOD15A2H,A2000097,Lat-3.834436Lon-73.31897Samp17Line17,2020041040753,0.66,0.66,F,0.61,0.61,0.63,0.51,F,F,F,F,F,F,0.9,0.89,F,F,0.74,0.74,F,0.61,0.61,0.7,0.42,0.51,0.51,0.71,0.66,0.87,0.9,0.84,F,F,F,F,F,F,0.47,0.49,0.88,F,0.88,0.75,0.71,0.89,F,0.88,0.4,F,F,F,0.87,F,0.87,0.63,0.49,0.49,0.77,0.7,0.65,0.89,0.86,0.7,0.89,0.4,F,F,F,F,F,0.87,0.63,0.67,0.67,0.48,F,0.67,0.88,0.86,0.9,0.4,0.4,F,F,F,0.84,F,0.87,0.87,0.46,0.46,F,F,0.74,0.88,0.86,0.89,0.58,0.58,F,F,F,0.6,0.84,0.86,0.74,0.5,0.5,F,F,F,0.74,0.87,0.9,0.34,0.34,F,F,0.8,0.65,0.61,0.61,0.62,F,0.63,0.49,F,F,F,0.84,0.76,0.9,0.48,F,F,F,F,0.68,0.68,0.7,F,F,F,F,0.87,0.87,0.83,0.9,F,0.48,F,0.87,0.84,0.64,0.74,0.74,0.6,0.57,F,F,F,F,0.64,0.64,F,F,F,0.88,0.81,0.37,F,0.88,0.74,0.6,0.43,0.4,F,F,F,F,F,F,F,F,0.87,0.81,F,F,0.68,0.68,0.57,0.39,0.4,F,F,F,F,F,F,0.89,0.86,0.86,F,F,F,F,F,F,0.43,0.9,0.9,F,F,0.9,0.86,0.86,F,0.72,0.72,F,F,0.48,0.74,0.49,0.49,F,F,F,F,F,0.9,0.9,F,0.9,0.72,0.72,F,F,0.7,0.39,F,F,F,0.9,0.9,0.9,F,0.9,F,F,0.89,0.72,0.72,F,F,F,0.83,F,0.51,0.65,F,F,F,F,0.9,F,0.89,0.89,0.85,0.85,0.78,F,F,F,0.5,0.29,0.29,F,F,F,F,F,F,F,0.89,0.89,F,F,F
MOD15A2H.A2000105.h10v09.006.2020041070638.Fpar_500m,MOD15A2H,A2000105,Lat-3.834436Lon-73.31897Samp17Line17,2020041070638,0.83,0.54,F,0.34,0.34,0.25,0.56,F,F,F,F,F,0.89,0.76,F,F,F,0.85,0.85,F,0.37,0.25,0.25,0.55,0.23,0.19,0.61,0.23,F,0.88,0.88,F,F,F,0.87,0.87,F,0.36,0.25,0.89,0.85,F,0.14,0.61,F,F,F,0.87,F,F,F,0.87,0.89,0.89,0.76,0.21,0.21,0.14,0.58,0.14,0.9,F,F,F,F,0.85,0.87,F,0.89,0.9,0.9,0.51,0.63,0.14,F,0.57,0.75,0.88,F,F,F,F,F,0.88,0.88,F,F,F,0.84,0.63,0.14,F,F,0.88,0.88,0.88,0.31,F,F,F,F,F,0.51,F,F,0.89,0.63,0.3,F,F,F,0.85,0.89,F,F,0.82,0.82,F,F,0.51,0.42,0.48,0.74,F,0.21,0.52,F,F,F,0.84,F,F,0.87,F,F,F,0.23,0.54,0.48,0.48,F,F,F,F,0.88,0.86,0.85,F,F,F,F,F,F,0.8,0.65,0.44,0.24,0.19,F,F,0.9,0.88,0.88,F,0.82,F,F,F,F,0.89,0.88,F,0.61,0.47,0.4,0.71,F,0.9,0.89,0.9,0.9,0.9,0.73,F,F,F,0.89,0.26,0.21,0.21,0.81,0.23,0.67,F,0.9,0.9,F,F,0.9,0.73,F,F,0.66,0.89,0.5,0.51,0.53,0.5,0.69,0.89,F,0.9,0.9,F,F,0.88,F,F,F,F,0.89,0.39,0.51,0.23,0.23,F,F,F,F,0.88,0.88,0.89,F,F,0.88,F,F,0.89,0.45,0.28,0.21,0.23,F,0.55,F,F,F,F,0.89,F,F,0.88,0.89,0.89,0.89,F,F,0.58,0.58,0.58,F,0.89,0.81,0.48,F,F,F,F,0.71,F,F,0.89,F,F,0.38,0.58,0.58,0.9,F,0.89,0.88,F,F,F,F,F,0.85,0.87,F
MOD15A2H.A2000113.h10v09.006.2020041212804.Fpar_500m,MOD15A2H,A2000113,Lat-3.834436Lon-73.31897Samp17Line17,2020041212804,0.75,0.74,F,0.26,0.38,0.4,0.38,F,F,F,F,F,F,F,F,F,F,F,0.74,F,0.38,0.41,0.41,0.33,0.39,0.39,0.37,0.39,F,F,F,F,F,F,0.83,0.83,F,0.36,0.37,F,F,F,0.33,0.36,F,F,F,F,F,F,F,0.82,0.83,F,0.37,0.37,0.37,0.29,0.29,0.33,F,F,F,F,F,F,F,F,0.8,F,F,0.37,0.33,0.33,0.33,0.3,0.35,F,F,F,F,F,F,F,F,0.8,0.88,0.88,0.88,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.38,F,F,0.88,0.35,0.35,F,F,F,0.1,0.1,F,F,F,F,F,F,0.38,0.3,0.45,0.5,F,0.42,0.27,F,F,F,F,F,F,F,F,F,F,0.23,0.39,0.45,0.45,F,F,F,0.29,0.29,F,F,F,F,F,F,F,F,F,0.55,0.55,0.39,0.36,F,F,F,F,F,F,0.82,F,F,F,F,F,F,F,0.55,0.36,0.38,0.34,F,F,F,F,F,0.8,0.8,F,F,F,F,0.5,0.36,0.36,0.36,0.25,0.34,0.63,F,F,F,F,F,F,0.33,0.33,F,F,0.53,0.57,0.54,0.54,0.45,0.79,0.63,0.56,F,F,F,F,F,F,F,F,F,0.5,0.32,0.57,0.52,F,0.87,F,F,F,F,F,F,F,F,F,F,F,0.58,0.57,0.57,0.51,F,0.87,F,F,F,0.72,0.72,0.63,0.76,F,F,0.4,F,0.82,0.82,0.61,0.61,0.55,0.88,0.83,F,F,F,0.86,0.86,0.76,0.68,0.68,0.4,0.19,0.86,0.86,0.52,0.52,0.69,F,F,F,0.81,0.81,0.81,F,F,F,F,0.43,0.43
MOD15A2H.A2000121.h10v09.006.2020042013315.Fpar_500m,MOD15A2H,A2000121,Lat-3.834436Lon-73.31897Samp17Line17,2020042013315,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.53,F,F,F,F,F,F,0.35,F,F,F,F,F,F,F,F,F,0.53,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.51,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.42,0.42,0.41,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.42,0.41,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.21,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.26,0.26,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000129.h10v09.006.2020042170515.Fpar_500m,MOD15A2H,A2000129,Lat-3.834436Lon-73.31897Samp17Line17,2020042170515,F,F,F,0.11,0.57,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.38,0.57,0.64,0.5,0.62,0.32,0.32,0.32,F,F,F,F,F,F,F,F,F,0.38,F,F,F,0.8,0.41,0.17,F,F,F,F,F,F,F,F,F,F,0.38,F,F,F,0.2,0.2,0.47,0.21,F,F,F,F,F,F,F,F,0.79,0.42,0.42,0.42,0.42,0.31,0.31,0.21,0.21,F,F,F,F,F,F,0.86,0.86,F,F,F,0.42,F,F,F,F,F,F,F,F,F,F,F,0.56,0.86,F,F,F,F,F,0.24,F,0.61,0.61,F,F,F,F,F,F,0.56,0.56,0.5,0.5,F,0.25,0.48,0.85,F,F,0.61,F,0.2,0.34,0.34,F,F,0.28,F,0.28,0.28,F,F,F,0.85,0.85,0.4,0.4,0.36,0.25,0.41,0.33,0.33,0.33,0.16,F,F,F,0.44,F,F,0.53,0.54,0.48,0.65,F,F,0.41,0.42,0.42,F,F,F,0.35,0.37,0.32,F,F,F,0.48,0.39,F,F,F,F,F,F,F,0.85,0.25,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,0.72,F,F,0.25,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,0.72,0.72,0.22,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.88,0.88,F,F,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F
