MOD15A2H.A2000057.h10v09.006.2020037215018.Lai_500m,MOD15A2H,A2000057,Lat-3.834436Lon-73.31897Samp17Line17,2020037215018,2.2,2.2,F,2.2,2.2,2.2,2.2,F,F,F,F,F,4.0,5.3,F,F,F,F,F,F,2.4,2.4,2.2,0.9,2.6,2.6,2.6,1.6,5.8,F,4.5,4.5,F,F,2.2,2.2,F,2.4,2.4,4.3,4.3,5.4,2.4,2.4,6.3,6.3,5.3,4.5,4.5,4.1,4.1,2.6,2.5,2.5,2.0,2.0,2.0,2.4,2.4,2.7,5.9,6.3,5.3,5.3,4.7,4.7,5.2,5.2,2.6,2.5,2.5,1.4,1.4,1.3,2.1,2.1,2.7,5.9,5.8,5.9,5.9,F,F,F,F,3.4,F,F,3.8,1.7,1.4,F,4.7,5.7,5.7,5.7,5.7,5.7,F,F,F,F,1.9,3.2,3.2,3.8,1.7,1.4,F,4.3,F,2.0,5.0,5.6,5.6,F,F,F,F,3.0,1.5,1.5,1.8,F,2.2,1.5,5.7,F,F,6.5,6.5,5.6,F,F,F,F,3.0,2.2,2.2,2.5,F,F,F,6.2,5.4,5.4,F,5.6,5.6,F,F,F,5.7,3.3,3.0,3.0,2.3,2.7,F,F,6.2,F,F,F,5.4,5.4,5.7,5.7,F,5.7,5.7,5.7,3.6,2.3,2.1,2.7,4.9,4.9,F,F,F,5.2,5.2,5.7,5.9,5.9,5.8,3.6,3.6,3.6,2.0,2.4,2.4,F,F,F,4.9,F,5.2,5.2,F,5.7,5.7,5.7,3.6,3.6,3.6,3.7,3.0,5.8,F,F,F,4.9,4.9,F,F,F,F,F,5.3,1.2,2.9,2.9,1.9,F,F,F,F,F,4.9,4.9,F,F,F,F,F,5.3,3.0,3.1,3.1,2.6,F,F,F,F,F,4.8,4.8,F,F,F,F,F,F,F,5.4,3.1,3.1,2.7,6.0,F,F,F,4.7,4.7,F,F,F,F,6.5,F,F,3.8,3.1,3.1,3.4,5.7,5.2,F,F,4.7,4.7,F,F,F,F,6.5,6.5
MOD15A2H.A2000065.h10v09.006.2020038170232.Lai_500m,MOD15A2H,A2000065,Lat-3.834436Lon-73.31897Samp17Line17,2020038170232,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000073.h10v09.006.2020040185843.Lai_500m,MOD15A2H,A2000073,Lat-3.834436Lon-73.31897Samp17Line17,2020040185843,F,F,F,0.2,F,F,F,F,F,F,F,F,F,F,4.5,4.5,3.9,F,F,F,0.5,F,1.5,0.8,1.4,2.6,2.5,1.5,5.5,F,F,F,F,F,F,F,F,0.8,1.2,F,F,F,1.4,1.3,F,F,F,F,F,F,F,F,F,F,0.8,1.2,0.8,0.8,1.0,1.0,F,F,F,F,F,F,F,F,F,F,F,1.0,1.0,1.1,1.1,0.7,0.7,F,F,F,F,F,F,F,F,F,F,F,F,1.4,1.0,F,F,F,F,F,F,F,F,0.8,F,F,0.8,F,F,F,1.6,1.7,F,F,F,F,F,F,4.2,4.2,3.4,F,F,1.1,1.1,1.2,1.6,F,1.7,1.0,F,F,F,F,F,1.2,4.2,3.4,3.2,3.2,1.4,1.1,1.2,1.6,F,F,F,F,F,F,F,F,1.2,3.8,3.8,3.2,3.2,1.4,1.4,1.5,1.4,1.4,F,F,F,F,F,F,F,F,4.6,4.6,3.5,3.5,F,F,1.0,0.7,0.5,0.7,F,F,F,F,5.3,5.3,5.1,F,F,3.5,3.5,1.0,1.0,0.2,0.2,0.7,0.7,F,F,F,F,5.9,5.9,4.9,F,F,4.9,4.9,1.3,1.3,0.1,0.1,0.1,F,F,F,F,F,F,5.9,4.9,5.4,5.4,4.9,4.9,0.7,1.0,1.0,0.7,F,F,F,F,F,F,F,F,F,5.1,5.1,4.8,4.8,1.8,1.2,1.2,0.6,F,F,F,F,F,F,F,F,F,4.8,4.8,4.8,4.8,6.1,5.7,1.5,0.6,0.6,F,F,5.2,F,F,0.7,F,F,4.8,4.8,4.2,F,5.7,5.7,1.5,0.2,0.2,F,F,F,F,3.5,2.7,2.7,F,F,F,F,F
MOD15A2H.A2000081.h10v09.006.2020040173038.Lai_500m,MOD15A2H,A2000081,Lat-3.834436Lon-73.31897Samp17Line17,2020040173038,5.5,5.5,F,0.8,F,F,1.4,F,F,F,F,F,F,F,F,F,F,6.2,6.2,F,0.9,F,F,0.6,1.0,1.2,1.2,0.5,F,F,F,F,F,F,6.2,6.2,F,0.9,0.8,F,F,F,1.2,0.7,F,F,F,6.6,F,F,F,6.3,6.3,F,1.7,1.9,1.5,1.5,1.2,1.2,F,F,F,F,6.6,F,F,F,6.5,F,F,0.6,0.8,0.6,1.0,1.0,1.0,F,F,F,F,F,F,F,F,F,F,F,F,1.9,1.9,F,1.4,F,F,F,F,F,F,F,F,F,1.9,5.4,5.7,5.7,2.1,1.9,F,1.4,F,F,F,F,F,F,F,F,F,2.3,1.9,1.8,1.8,F,2.1,1.0,5.0,F,F,F,5.3,F,F,F,F,F,2.6,2.2,1.7,1.7,F,F,F,5.8,6.6,6.6,F,5.3,5.3,1.6,1.6,F,F,1.9,2.2,1.7,2.2,2.6,F,F,6.5,4.4,4.9,4.9,4.3,4.3,4.9,4.9,F,F,5.4,5.4,1.7,1.7,1.6,3.5,6.3,6.3,4.9,4.9,F,F,F,4.9,4.8,5.3,5.3,1.9,1.6,3.4,3.4,3.0,2.1,6.3,6.3,6.6,4.3,4.3,4.5,F,4.5,4.5,4.8,4.8,1.0,2.9,3.2,3.2,1.6,F,6.3,6.3,6.6,F,4.6,4.6,F,F,F,F,F,1.2,2.8,2.2,2.2,F,F,F,F,F,6.6,6.6,4.1,5.7,F,F,F,F,1.9,3.0,3.5,1.1,F,F,5.9,5.8,5.8,4.6,6.6,F,5.7,2.7,2.7,4.4,F,6.3,6.0,3.5,2.6,2.6,6.5,4.5,6.1,6.1,F,6.6,6.6,5.3,3.4,4.3,4.4,4.8,6.3,6.0,4.1,2.1,1.9,6.6,6.0,4.7,4.7,F,F,F,F,3.4,4.2,5.0,5.0
MOD15A2H.A2000089.h10v09.006.2020041193732.Lai_500m,MOD15A2H,A2000089,Lat-3.834436Lon-73.31897Samp17Line17,2020041193732,0.8,F,F,1.9,1.9,F,F,F,F,F,F,F,F,F,5.7,5.4,5.4,0.8,F,F,F,F,F,1.1,2.5,1.5,0.8,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,6.5,1.5,1.5,F,F,F,F,F,F,F,F,F,F,F,F,1.4,1.6,1.6,0.8,F,F,F,F,F,F,F,F,F,F,F,F,F,1.4,1.8,1.8,0.7,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.3,6.3,1.1,F,F,F,0.5,0.6,F,F,F,F,F,F,F,5.7,5.7,6.3,6.3,0.3,F,F,F,F,0.6,0.7,F,F,F,F,F,F,5.7,5.7,5.9,5.9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.1,6.1,0.9,F,F,F,F,F,F,0.6,F,F,F,F,F,F,F,5.8,5.8,3.6,1.2,1.2,F,F,F,F,0.6,F,F,0.5,F,F,F,F,F,F,3.6,1.2,1.2,F,F,F,F,0.5,1.1,0.9,0.3,F,F,F,F,F,F,F,1.5,0.1,F,F,F,F,1.0,0.8,F,F,F,F,F,F,5.7,6.5,F,F,F,F,F,F,F,F,F,0.6,F,F,F,F,F,F,F,5.9,5.9,F,F,4.2,F,F,F,F,0.2,F,F,F,F,F,F,F,6.5,6.5,5.5,5.2,4.7,F,F
MOD15A2H.A2000097.h10v09.006.2020041040753.Lai_500m,MOD15A2H,A2000097,Lat-3.834436Lon-73.31897Samp17Line17,2020041040753,2.7,2.7,F,2.5,2.5,2.5,1.8,F,F,F,F,F,F,6.5,6.4,F,F,3.4,3.4,F,2.4,2.4,3.1,1.0,1.7,1.7,3.1,2.5,5.7,6.4,5.0,F,F,F,F,F,F,1.7,1.6,6.1,F,6.1,3.6,3.1,6.6,F,5.9,1.1,F,F,F,5.5,F,5.7,2.6,1.6,1.6,3.9,3.1,2.6,6.5,5.3,3.0,6.2,1.1,F,F,F,F,F,5.7,2.6,2.9,2.9,1.7,F,2.8,6.3,5.3,6.5,1.2,1.2,F,F,F,5.0,F,5.7,5.8,1.6,1.6,F,F,3.4,6.3,5.3,6.2,2.1,2.1,F,F,F,2.5,5.0,5.5,3.3,1.7,1.7,F,F,F,3.4,5.8,6.6,0.9,0.9,F,F,4.2,2.6,2.4,2.4,2.5,F,2.5,1.2,F,F,F,4.9,3.6,6.5,1.5,F,F,F,F,2.8,2.8,3.1,F,F,F,F,5.7,5.7,4.7,6.6,F,1.5,F,5.7,5.0,2.5,3.5,3.5,2.3,2.4,F,F,F,F,2.5,2.5,F,F,F,5.9,4.3,1.0,F,6.3,3.5,2.3,1.1,1.4,F,F,F,F,F,F,F,F,5.8,4.4,F,F,2.8,2.8,2.2,1.2,1.4,F,F,F,F,F,F,6.5,5.5,5.5,F,F,F,F,F,F,1.4,6.5,6.5,F,F,6.5,5.6,5.5,F,3.3,3.3,F,F,1.3,3.4,1.8,1.8,F,F,F,F,F,6.5,6.5,F,6.6,3.2,3.2,F,F,3.5,1.4,F,F,F,6.5,6.5,6.5,F,6.6,F,F,6.0,3.2,3.2,F,F,F,4.8,F,1.8,2.2,F,F,F,F,6.6,F,6.2,6.2,5.0,5.0,3.9,F,F,F,1.8,0.8,0.8,F,F,F,F,F,F,F,6.2,6.2,F,F,F
MOD15A2H.A2000105.h10v09.006.2020041070638.Lai_500m,MOD15A2H,A2000105,Lat-3.834436Lon-73.31897Samp17Line17,2020041070638,4.4,1.7,F,0.9,0.9,0.7,1.8,F,F,F,F,F,6.2,3.4,F,F,F,4.9,4.9,F,1.0,0.7,0.7,1.3,0.6,0.5,2.1,0.5,F,5.9,5.6,F,F,F,5.5,5.5,F,1.1,0.7,6.2,4.8,F,0.3,2.1,F,F,F,5.2,F,F,F,5.5,6.2,6.1,3.1,0.6,0.6,0.3,2.0,0.3,6.5,F,F,F,F,4.7,5.3,F,6.2,6.6,6.6,1.6,2.1,0.3,F,1.7,3.1,5.6,F,F,F,F,F,5.8,5.6,F,F,F,4.6,2.1,0.3,F,F,5.6,5.6,5.6,0.7,F,F,F,F,F,1.6,F,F,6.3,2.2,0.7,F,F,F,4.9,6.0,F,F,4.2,4.2,F,F,1.6,1.1,1.4,2.9,F,0.6,1.1,F,F,F,4.7,F,F,5.3,F,F,F,0.6,1.8,1.4,1.4,F,F,F,F,5.9,5.0,4.7,F,F,F,F,F,F,3.5,2.2,1.2,0.6,0.5,F,F,6.6,5.9,5.6,F,4.1,F,F,F,F,6.0,5.8,F,2.0,1.3,0.9,2.7,F,6.6,6.4,6.5,6.5,6.6,3.1,F,F,F,6.0,0.7,0.6,0.5,3.7,0.6,2.5,F,6.6,6.6,F,F,6.6,3.1,F,F,2.4,6.2,1.5,1.5,1.6,1.5,2.5,6.1,F,6.6,6.6,F,F,5.6,F,F,F,F,6.3,0.8,1.5,0.6,0.6,F,F,F,F,5.9,5.9,6.2,F,F,5.9,F,F,6.3,1.5,0.8,0.6,0.5,F,1.6,F,F,F,F,6.2,F,F,5.9,6.2,6.2,6.2,F,F,1.8,1.8,1.8,F,6.2,4.0,1.4,F,F,F,F,2.9,F,F,6.2,F,F,1.0,1.8,1.8,6.5,F,6.1,5.7,F,F,F,F,F,4.7,5.4,F
MOD15A2H.A2000113.h10v09.006.2020041212804.Lai_500m,MOD15A2H,A2000113,Lat-3.834436Lon-73.31897Samp17Line17,2020041212804,3.5,3.4,F,0.8,1.2,1.2,1.1,F,F,F,F,F,F,F,F,F,F,F,3.4,F,1.2,1.3,1.3,0.7,1.2,1.2,1.1,1.0,F,F,F,F,F,F,4.6,4.6,F,1.2,1.2,F,F,F,1.0,1.1,F,F,F,F,F,F,F,4.4,4.6,F,1.2,1.2,1.2,0.8,0.8,1.0,F,F,F,F,F,F,F,F,4.1,F,F,1.2,1.0,1.0,1.0,0.9,1.1,F,F,F,F,F,F,F,F,4.1,6.0,6.0,6.0,1.1,1.1,F,F,F,F,F,F,F,F,F,F,F,1.2,F,F,6.0,1.1,1.1,F,F,F,0.2,0.2,F,F,F,F,F,F,1.2,0.8,1.6,1.8,F,1.4,0.6,F,F,F,F,F,F,F,F,F,F,0.6,1.3,1.5,1.5,F,F,F,0.7,0.7,F,F,F,F,F,F,F,F,F,2.4,2.4,1.3,1.1,F,F,F,F,F,F,4.5,F,F,F,F,F,F,F,2.4,1.2,1.1,1.1,F,F,F,F,F,4.1,4.1,F,F,F,F,1.8,1.1,1.2,1.2,0.7,1.1,2.4,F,F,F,F,F,F,0.8,0.8,F,F,2.1,2.4,2.1,2.1,1.7,4.0,2.4,2.0,F,F,F,F,F,F,F,F,F,1.5,1.0,2.4,1.9,F,5.9,F,F,F,F,F,F,F,F,F,F,F,2.5,2.4,2.4,1.5,F,5.9,F,F,F,3.2,3.2,2.4,3.6,F,F,1.2,F,4.4,4.4,2.7,2.7,2.0,6.3,4.7,F,F,F,5.2,5.2,3.6,2.8,2.8,1.2,0.5,5.3,5.3,2.0,2.0,3.4,F,F,F,4.3,4.3,4.3,F,F,F,F,1.2,1.2
MOD15A2H.A2000121.h10v09.006.2020042013315.Lai_500m,MOD15A2H,A2000121,Lat-3.834436Lon-73.31897Samp17Line17,2020042013315,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.6,F,F,F,F,F,F,0.7,F,F,F,F,F,F,F,F,F,1.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.5,6.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,6.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.7,0.7,0.7,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.1,1.1,1.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,1.1,1.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,1.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.6,0.6,6.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000129.h10v09.006.2020042170515.Lai_500m,MOD15A2H,A2000129,Lat-3.834436Lon-73.31897Samp17Line17,2020042170515,F,F,F,0.2,1.8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.0,1.8,2.2,1.2,2.2,0.8,0.8,0.7,F,F,F,F,F,F,F,F,F,1.0,F,F,F,3.8,1.2,0.4,F,F,F,F,F,F,F,F,F,F,1.0,F,F,F,0.5,0.5,1.4,0.5,F,F,F,F,F,F,F,F,3.7,1.3,1.2,1.2,1.2,0.8,0.8,0.5,0.5,F,F,F,F,F,F,5.0,5.0,F,F,F,1.2,F,F,F,F,F,F,F,F,F,F,F,1.9,5.0,F,F,F,F,F,0.6,F,2.1,2.1,F,F,F,F,F,F,1.9,1.9,1.5,1.5,F,0.7,1.0,4.6,F,F,2.1,F,0.5,0.9,0.9,F,F,0.9,F,0.9,0.9,F,F,F,4.6,4.6,1.1,1.1,1.0,0.6,1.1,0.9,0.9,0.9,0.3,F,F,F,1.5,F,F,1.7,1.8,1.5,2.4,F,F,1.1,1.2,1.2,F,F,F,1.1,1.0,0.7,F,F,F,1.4,1.0,F,F,F,F,F,F,F,4.4,0.6,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,3.0,F,F,0.6,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,3.0,3.0,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,5.6,5.6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,5.6,5.6,F,F,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F
